step	pg2
0	0.0
1	1.15073e-06
2	2.22292e-06
3	3.2165700000000003e-06
4	4.13168e-06
5	4.96825e-06
6	5.72628e-06
7	6.40577e-06
8	7.006720000000002e-06
9	7.52913e-06
10	7.973000000000001e-06
11	8.338330000000002e-06
12	8.62512e-06
13	8.833369999999999e-06
14	8.963080000000001e-06
15	9.014250000000001e-06
16	8.98688e-06
17	8.88097e-06
18	8.69652e-06
19	8.433530000000002e-06
20	8.092e-06
21	7.671930000000002e-06
22	7.173320000000003e-06
23	6.59617e-06
24	5.94048e-06
25	5.2062499999999995e-06
26	4.39348e-06
27	3.502169999999999e-06
28	2.5323199999999996e-06
29	1.4839299999999999e-06
